T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Classes
55.1,265,-96.8,0,197,-3,173.7,14,125.8,25.3,0
55.1,267,-75.3,4.6,68,-8.8,247.6,8,105.3,2.9,1
55.1,268,-111.8,5.9,49,-21,157.5,-10,139.7,15.2,0
55.1,271,-90.4,1.1,56,-15.7,249.2,20,120.3,4.4,0
55.1,275,-93.7,5.4,70,-12.6,250.1,16,115,24.2,1
55.1,278,-107.8,0.1,65,-11.7,39.9,0,131.4,22.5,0
55.1,279,-84.9,0.8,141,-14.5,255.2,19,114.9,1.3,1
55.1,282,-93,4.7,148,-15.8,236.2,7,121.8,12.3,0
55.1,285,-106.6,3.7,9,-8.6,187,22,136.5,11.7,0
55.1,285,-110.9,4.7,224,-5.6,61.2,-15,140.6,17.8,0
55.1,287,-92.4,3.4,170,-20.5,235,18,108.5,8.3,1
55.1,288,-105.7,4.1,193,-8.4,167.1,17,132.7,29.3,0
55.1,290,-83.5,3.3,289,-13.5,249.8,10,113.3,12.1,1
55.1,292,-105.7,5.5,357,-9,176.9,0,135.4,18.5,0
55.1,294,-87.4,2.5,159,-17.5,233.4,20,109.2,12.3,1
55.1,299,-85.7,1.9,282,-17.9,232.8,31,115.4,9.5,1
55.1,301,-107.5,5.7,213,-33.3,56.6,-5,137.4,14.9,0
55.1,302,-89.8,3.7,282,-15.4,246,16,118.7,10,1
55.1,306,-87.6,1.4,144,-12.3,217.4,7,117.6,1.9,1
55.1,309,-119.1,2.3,62,-12,37.3,-12,134.7,15.9,0
55.1,320,-106,4.6,78,-19.7,54.8,-24,135.3,40.2,0
55.1,353,-92.3,3.8,77,-16.6,241.4,28,120.8,15.2,0
55.1,356,-91.7,1.3,177,-16.1,239.2,20,119.4,46,1
55.1,359,-86.7,5.9,74,-13.8,242.3,17,116.1,31,1
55.1,362,-89.6,2.3,293,-15.1,242,10,117.8,36.6,1
55.1,367,-91.4,4.4,80,-13.9,247.2,28,120.5,16.9,0
55.1,369,-98.7,5.3,294,-18,248.6,-14,128.6,12.1,0
55.1,375,-97.7,5.7,299,-13.7,256.9,16,127.1,29,0
55.1,379,-103.8,3,306,-12.2,245.7,16,131.4,55.8,0
55.1,384,-103,0.7,298,-20,233,23,132.3,41.5,0
55.1,388,-98.4,1.8,157,-8.9,246.1,18,121.9,54.4,0
55.1,393,-100,3.9,54,-13,235.4,37,129.5,40.4,0
55.1,397,-98.4,1.7,298,-18.5,251.5,25,128.2,17.1,0
55.1,402,-101.6,1.6,165,-20.7,222.5,24,128.2,69.1,0
55.1,406,-105.5,4.9,79,-16.3,240,11,124.2,52,0
55.1,411,-110.7,3.5,168,-15.1,241.2,16,104.1,4.4,1
55.1,416,-114.4,5.9,81,-14.7,258.7,22,136.8,89,0
55.1,420,-99.3,2.6,77,-13,231.4,16,126.6,64,0
55.1,477,-120.4,1.1,170,-15.8,239.6,15,105.4,7.2,1
55.1,480,-124.1,4.9,287,-18.3,247.2,11,117,19,1
55.1,483,-124.4,1.6,77,-14,240.3,25,120.8,18.1,0
55.1,485,-118.5,0.5,173,-15.1,234.6,7,114.3,5.7,1
55.1,488,-123.6,0.6,165,-13.8,266,13,131.4,18.8,0
55.1,491,-109.3,6,294,-16.1,235.6,4,127.6,56.6,0
55.1,494,-113,5.2,76,-16.1,229.6,20,130.7,70.6,0
55.1,497,-121.1,3.3,298,-16,244.9,20,131.6,54,0
55.1,500,-125.7,6.2,61,-11.7,239.8,16,122.4,18.2,0
55.1,503,-118.4,3.3,165,-14.2,222.9,14,128.4,28.2,0
55.1,507,-138.1,0.1,275,-20,236.8,29,122.9,13.1,0
55.1,509,-124.9,0.5,291,-16.6,255,12,119,11.3,1
55.1,512,-126.6,2.7,67,-16.3,239.1,22,126.3,38.7,0
55.1,516,-115.4,2.5,158,-15.4,243,30,133.4,65.1,0
55.1,518,-128.4,6.1,299,-17.2,253.5,18,128.7,39.8,0
55.1,521,-120.7,5.2,87,-14.7,265.5,9,144.4,137,0
55.1,526,-130.1,1.4,158,-18.3,245.5,59,134.7,18,0
55.1,527,-139.3,1.8,290,-12,234.5,18,129.8,39.9,0
55.1,530,-122.6,0.3,300,-15.5,235.9,13,128.1,53.2,0
55.1,534,-130.1,1.5,161,-15.4,248.8,31,131.5,33.1,0
55.1,536,-131.9,5.8,287,-17.9,255.7,20,130.9,20.7,0
55.1,540,-134.7,1.8,76,-16.3,241.4,21,118.6,17.4,1
55.1,542,-131.7,0.9,159,-17.9,235.8,8,108.5,2.2,1
55.1,545,-147.5,5,71,-13.2,242.9,6,111.4,10.7,1
55.1,549,-145.6,0.2,295,-15.4,257.4,27,134.7,33.7,0
55.1,552,-139.5,0.9,70,-17.6,233.6,27,132.9,44.3,0
55.1,555,-143.1,1.6,71,-13.7,233.9,20,125.8,45.8,0
55.1,559,-139.9,2.7,282,-16.9,219.3,33,135.9,26.6,0
55.1,560,-139.2,5.2,287,-17.1,233.5,0,135.4,66.4,0
55.1,636,-137.8,2,70,-16.6,235.9,8,116.2,12.8,1
55.1,639,-145.1,5.3,165,-18.5,251.5,0,129.4,6.9,0
55.1,645,-132.5,6,65,-21.6,234.2,48,146.3,68.6,0
55.1,646,-137.9,3.1,74,-14.6,241.9,7,116.4,25,1
55.1,856,-160,3.2,284,-10.8,254.9,4,124.7,4.9,0
55.1,860,-160,5.6,68,-14.8,248.1,19,120.4,42.2,0
55.1,863,-160,1,279,-18.5,244.2,-1,137.6,23.1,0
