"player-name","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 18","tablescraper-selected-row 19","footable-last-visible"
"Abarca Fernandez, Matias","6","190:39","21","33","5","15.2","55","32","58.2","18","14","77.8","93","5","35","40","10","0","16","11"
"Aburto Morales, Fabian","4","77:47","7","14","1","7.1","24","11","45.8","4","1","25","26","4","9","13","10","0","4","7"
"Aburto Quezada, Javier","3","12:27","2","0","0","0","5","2","40","2","0","0","4","1","2","3","0","0","1","4"
"Aceiton Mora, Joaquim","4","35:08","7","1","0","0","7","2","28.6","4","3","75","7","1","4","5","2","0","2","8"
"Aceiton Mora, Karim","2","11:49","3","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Acevedo Frugone, benjamin","2","19:24","5","2","0","0","3","0","0","0","0","0","0","0","0","0","1","0","1","1"
"Acevedo Palacios, Sebastian","1","4:37","0","0","0","0","1","0","0","2","0","0","0","1","2","3","0","0","0","0"
"Acevedo Quezada, Tomas","4","49:16","2","14","7","50","5","2","40","7","4","57.1","29","2","11","13","1","1","1","5"
"Acuna Avello, Rodrigo","6","147:54","19","11","2","18.2","18","3","16.7","2","1","50","13","7","21","28","9","3","12","21"
"Acuna Henriquez, Fernando","6","154:21","17","28","5","17.9","36","11","30.6","26","18","69.2","55","4","19","23","10","1","15","21"
"Adasme Crumacher, Benjamin","6","134:22","13","1","0","0","42","26","61.9","29","8","27.6","60","10","40","50","18","10","11","11"
"Adasme Rojas, Benjamin","6","144:56","12","22","5","22.7","19","6","31.6","18","10","55.6","37","3","14","17","10","1","19","24"
"Adrian Reyes, Hans H.","2","50:27","4","13","3","23.1","15","9","60","3","2","66.7","29","5","10","15","2","1","0","6"
"Aedo Zuleta, Mauro","1","25:43","5","4","2","50","6","4","66.7","2","0","0","14","0","6","6","1","0","1","10"
"Aguayo Ferrada, Juan J.","6","154:49","8","14","2","14.3","41","23","56.1","16","5","31.3","57","6","33","39","10","2","7","8"
"Aguilar Navarrete, Marco","4","117:12","12","20","7","35","34","14","41.2","26","15","57.7","64","3","26","29","1","1","8","22"
"Aguilar Santos, Sebastian","6","127:37","8","10","0","0","31","15","48.4","10","6","60","36","8","16","24","6","0","9","10"
"Aguilera Espinoza, Felipe","7","129:07","2","22","4","18.2","18","9","50","10","7","70","37","3","15","18","3","0","15","15"
"Aguilera Nunez, Gabriel","4","41:36","3","1","0","0","7","4","57.1","0","0","0","8","1","9","10","1","0","1","2"
"Aguirre Mendez, Martin","4","112:28","7","5","1","20","23","12","52.2","2","1","50","28","3","6","9","3","1","5","6"
"Aguirre Quintanilla, Lukas","1","12:24","0","2","0","0","2","0","0","0","0","0","0","0","0","0","1","0","2","0"
"Agusto Duran, Eduardo","2","30:49","6","0","0","0","7","1","14.3","8","4","50","6","7","6","13","0","0","1","1"
"Ahumada Fernandez, Joaquin I.","1","0:52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alarcon Grijalba, Lukas","1","4:34","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0"
"Alarcon Uribe, David I.","2","38:08","2","18","6","33.3","5","1","20","4","4","100","24","4","4","8","11","0","6","1"
"Albornoz Lara, Rodrigo","4","82:37","2","5","0","0","17","11","64.7","3","3","100","25","6","10","16","10","1","17","8"
"Albornoz Rojas, Marcelo","5","112:21","16","9","2","22.2","31","12","38.7","13","6","46.2","36","5","10","15","7","1","7","13"
"Alfaro Molina, Joaquin","4","23:40","2","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Almendras Delavenne, Kai","5","38:58","4","7","2","28.6","6","1","16.7","0","0","0","8","0","6","6","0","0","3","8"
"Almonacid Silva, Jeremias","3","18:33","0","1","0","0","3","1","33.3","0","0","0","2","3","2","5","0","0","0","5"
"Alonso Figueroa, Agustin","4","64:37","2","4","0","0","20","11","55","7","2","28.6","24","4","3","7","4","0","4","6"
"Altamirano Altamirano, Matias","3","30:21","0","1","0","0","2","0","0","2","0","0","0","0","4","4","0","0","0","4"
"Alvarado Sanzana, Juan","5","158:31","7","48","18","37.5","57","28","49.1","19","15","78.9","125","10","25","35","11","2","19","17"
"Alvarez-Salamanca, Lukas","7","98:00","8","12","1","8.3","14","3","21.4","4","4","100","13","7","12","19","3","2","3","8"
"Alvarez Donoso, Lukas R.","2","9:33","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","1"
"Alvarez Flanega, Alfredo","5","143:44","12","1","0","0","77","41","53.2","16","8","50","90","22","31","53","8","5","5","7"
"Alvarez Huerta, Jean","3","53:17","6","4","0","0","6","3","50","4","0","0","6","1","9","10","1","0","1","1"
"Amar Guerra, Raul","5","171:31","11","27","8","29.6","54","30","55.6","34","29","85.3","113","8","56","64","7","0","14","28"
"Amilson, Louis Benson","6","115:57","9","17","1","5.9","46","24","52.2","18","9","50","60","19","22","41","9","3","11","15"
"Ampuero Oviedo, Bernardo S.","2","17:36","2","5","0","0","7","0","0","0","0","0","0","0","3","3","1","0","1","0"
