"playerNumber","playerName","playerName href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 19","tablescraper-selected-row 20","footable-last-visible"
"9","A. Monsalves Vergara","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061190%3F","30:58","23","2","2","1","50","13","7","53.8","10","6","60","3","3","6","3","0","2","8","13"
"8","B. Munizaga Olvarravia","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061186%3F","18:54","4","2","3","0","0","3","2","66.7","0","0","0","1","2","3","0","1","1","3","1"
"3","C. Salcedo Sanchez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061191%3F","23:13","11","3","3","1","33.3","8","4","50","0","0","0","1","5","6","1","2","1","4","10"
"40","E. Agusto Duran","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061189%3F","11:35","0","1","0","0","0","1","0","0","0","0","0","1","1","2","0","0","0","0","1"
"33","I. Donoso Pacheco","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1934722%3F","13:10","3","0","0","0","0","4","1","25","2","1","50","0","4","4","1","2","1","3","3"
"23","J. Alvarez Huerta","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061183%3F","17:55","4","2","3","0","0","4","2","50","2","0","0","1","3","4","1","1","0","0","3"
"7","J. Moya Pacheco","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1934730%3F","4:52","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0"
"50","J. Aravena Allende","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061195%3F","19:51","2","0","0","0","0","5","1","20","0","0","0","0","2","2","0","1","1","4","3"
"42","J. Carrasco Godoy","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1911310%3F","31:10","13","1","3","0","0","10","6","60","2","1","50","3","12","15","1","0","0","12","9"
"30","N. Dumbar Pinto","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061181%3F","6:01","2","0","0","0","0","3","1","33.3","0","0","0","1","1","2","0","0","0","1","1"
"21","P. Gonzalez Vega","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061180%3F","19:14","0","1","0","0","0","1","0","0","0","0","0","0","2","2","1","1","1","3","0"
"32","V. Preter Valderrama","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061182%3F","3:01","0","0","0","0","0","1","0","0","0","0","0","2","0","2","2","0","0","1","2"
