"playerNumber","playerName","playerName href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 20","footable-last-visible"
"9","A. Monsalves Vergara","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061190%3F","34:25","9","2","1","3","2","66.7","8","5","62.5","1","2","3","1","1","4","5"
"8","B. Munizaga Olvarravia","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061186%3F","24:37","8","0","4","1","1","100","6","6","100","1","0","1","0","0","4","1"
"3","C. Salcedo Sanchez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061191%3F","14:37","2","2","2","3","1","33.3","0","0","0","1","0","1","1","1","0","1"
"33","G. Guerraty Acevedo","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1934724%3F","8:25","0","1","0","2","0","0","0","0","0","1","0","1","0","0","0","1"
"30","I. Donoso Pacheco","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1934722%3F","19:03","2","1","0","0","0","0","2","2","100","0","0","0","0","0","1","1"
"23","J. Alvarez Huerta","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061183%3F","20:36","0","0","0","1","0","0","2","0","0","0","3","3","0","0","1","1"
"50","J. Aravena Allende","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061195%3F","31:28","4","3","1","5","1","20","4","2","50","2","3","5","1","0","1","2"
"42","J. Carrasco Godoy","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1911310%3F","27:40","5","4","1","5","2","40","4","1","25","1","6","7","0","0","0","5"
"20","M. Jarpa Tagle","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061197%3F","4:58","2","0","0","2","1","50","0","0","0","0","0","0","0","0","1","0"
"21","P. Gonzalez Vega","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061180%3F","7:31","1","2","0","0","0","0","2","1","50","0","0","0","0","0","0","0"
"7","R. Cayo Suarez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061519%3F","4:58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","V. Preter Valderrama","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061182%3F","1:36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
