"playerNumber","playerName","playerName href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 20","footable-last-visible"
"14","A. Alvarez Flanega","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061147%3F","33:59","11","3","1","0","0","9","5","55.6","4","1","25","1","3","4","0","2","1","8"
"4","B. Rojas Plaza","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061157%3F","0:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","C. Gallegos Moya","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061148%3F","21:00","7","2","3","1","33.3","5","2","40","0","0","0","1","3","4","0","0","3","3"
"15","D. Morales Gonzalez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061155%3F","25:44","4","1","1","0","0","1","1","100","4","2","50","0","1","1","2","1","0","5"
"5","D. Gallardo Araya","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061158%3F","16:53","5","0","2","1","50","1","1","100","1","0","0","0","0","0","1","1","1","4"
"11","G. Rojo Arqueros","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061151%3F","36:27","14","3","1","0","0","6","6","100","2","2","100","0","3","3","3","1","0","20"
"12","J. Arostica Diaz","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061150%3F","15:11","4","1","0","0","0","2","2","100","0","0","0","0","2","2","0","0","0","6"
"8","K. Peters Diaz","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061154%3F","9:15","4","2","0","0","0","2","2","100","0","0","0","0","1","1","2","0","0","7"
"13","M. Rojas Salinas","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061159%3F","17:23","7","5","0","0","0","4","3","75","6","1","16.7","1","1","2","2","1","2","4"
"7","N. Ortiz de Zarate","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061149%3F","24:04","2","1","0","0","0","3","1","33.3","2","0","0","0","4","4","0","0","0","2"
"9","W. Romero Arancibia","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061156%3F","0:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
