"playerNumber","playerName","playerName href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 18","tablescraper-selected-row 19","tablescraper-selected-row 20","footable-last-visible"
"17","D. Carreno Castillo","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058557%3F","10:48","0","2","0","0","0","5","0","0","0","0","0","0","4","4","0","0","0","0","1","2"
"45","F. Cisternas Vergara","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058554%3F","31:04","11","1","4","3","75","2","1","50","0","0","0","1","2","3","0","0","0","0","5","7"
"15","F. Cabrera Barriga","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058560%3F","12:52","3","0","5","1","20","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"26","J. Castillo Castillo","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058549%3F","29:40","6","2","3","0","0","5","1","20","5","4","80","4","3","7","1","4","0","0","9","1"
"12","J. Bonilla Palma","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058559%3F","20:23","0","0","0","0","0","2","0","0","0","0","0","0","6","6","0","0","0","0","3","1"
"10","J. Araya Castillo","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058555%3F","4:12","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"8","M. Aguirre Mendez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058551%3F","11:11","2","1","0","0","0","2","1","50","0","0","0","0","4","4","1","0","1","0","2","5"
"9","M. Altamirano Altamirano","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058553%3F","15:03","0","0","1","0","0","1","0","0","0","0","0","0","4","4","0","0","0","0","3","1"
"7","M. Aedo Zuleta","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058548%3F","25:43","14","5","4","2","50","6","4","66.7","2","0","0","0","6","6","1","1","0","1","10","6"
"11","Y. Barraza Andrada","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F224339%3F","39:01","16","1","7","1","14.3","18","6","33.3","2","1","50","0","7","7","4","5","1","1","2","12"
