"playerNumber","playerName","playerName href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 19","tablescraper-selected-row 20","footable-last-visible"
"14","D. Carreno Castillo","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058557%3F","0:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","D. Restovic Franco","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F216792%3F","38:31","23","4","6","3","50","11","6","54.5","7","2","28.6","8","11","19","1","3","0","3","30"
"7","F. Sanchez Orrego","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058552%3F","28:19","7","3","9","1","11.1","5","2","40","2","0","0","1","4","5","1","1","1","1","0"
"17","F. Cisternas Vergara","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058554%3F","8:26","1","2","0","0","0","0","0","0","2","1","50","0","0","0","0","0","0","2","2"
"26","J. Gallego Rosso","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F224447%3F","6:01","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0"
"45","M. Aguirre Mendez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058551%3F","26:31","4","2","2","0","0","4","2","50","0","0","0","1","0","1","0","1","0","1","1"
"9","M. Altamirano Altamirano","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058553%3F","7:07","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","3"
"5","M. Rivera Fuentes","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058547%3F","6:01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","N. Arce Heredia","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061167%3F","17:19","2","1","0","0","0","1","1","100","0","0","0","1","2","3","0","0","0","1","4"
"4","P. Suazo Madariaga","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F224446%3F","34:47","24","2","9","2","22.2","9","4","44.4","17","10","58.8","3","2","5","1","1","0","2","10"
"6","V. Herrera Sepulveda","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2058550%3F","26:51","0","4","4","0","0","0","0","0","0","0","0","2","1","3","3","2","0","3","1"
