"playerNumber","playerName","playerName href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 18","tablescraper-selected-row 19","tablescraper-selected-row 20","footable-last-visible"
"14","A. Alvarez Flanega","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061147%3F","22:49","18","1","0","0","0","16","8","50","2","2","100","6","6","12","1","2","0","0","2","23"
"4","B. Rojas Plaza","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061157%3F","10:00","3","1","4","1","25","0","0","0","0","0","0","1","0","1","1","1","0","0","1","2"
"10","C. Gallegos Moya","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061148%3F","14:55","7","2","1","1","100","5","2","40","2","0","0","0","2","2","3","2","1","0","1","9"
"15","D. Morales Gonzalez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061155%3F","23:19","8","0","0","0","0","9","4","44.4","2","0","0","2","6","8","4","2","1","0","2","14"
"11","G. Rojo Arqueros","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061151%3F","17:19","9","0","2","1","50","8","3","37.5","0","0","0","2","3","5","1","3","0","0","1","11"
"12","J. Arostica Diaz","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061150%3F","10:13","1","2","1","0","0","1","0","0","2","1","50","0","1","1","0","0","0","0","1","2"
"8","K. Peters Diaz","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061154%3F","11:18","6","1","1","0","0","6","3","50","1","0","0","2","2","4","2","2","0","0","0","9"
"6","L. Castro Castillo","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061161%3F","24:11","16","2","7","1","14.3","9","6","66.7","3","1","33.3","2","5","7","3","1","0","0","2","14"
"13","M. Rojas Salinas","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061159%3F","28:06","24","3","5","1","20","22","10","45.5","1","1","100","6","2","8","2","7","0","1","2","23"
"7","N. Ortiz de Zarate","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061149%3F","17:33","6","3","0","0","0","8","3","37.5","1","0","0","5","3","8","0","1","0","1","0","9"
"5","R. Bernal Gonzalez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061162%3F","13:46","2","0","0","0","0","4","1","25","0","0","0","1","3","4","0","0","0","0","1","2"
"9","W. Romero Arancibia","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061156%3F","6:25","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3"
