"playerNumber","playerName","playerName href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 18","tablescraper-selected-row 20","footable-last-visible"
"14","A. Alvarez Flanega","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061147%3F","30:34","20","1","0","0","0","17","9","52.9","6","2","33.3","4","3","7","0","1","0","2","14"
"4","B. Rojas Plaza","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061157%3F","7:12","3","1","2","1","50","0","0","0","0","0","0","0","1","1","0","0","0","2","1"
"12","C. Gallegos Moya","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061148%3F","22:49","8","4","2","0","0","6","3","50","3","2","66.7","2","0","2","3","1","1","1","8"
"15","D. Morales Gonzalez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061155%3F","27:13","4","3","2","0","0","5","2","40","0","0","0","0","2","2","2","0","0","1","2"
"6","D. Gallardo Araya","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061158%3F","10:24","2","2","1","0","0","1","1","100","0","0","0","0","0","0","0","1","0","2","0"
"11","G. Rojo Arqueros","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061151%3F","24:16","6","2","1","0","0","6","3","50","0","0","0","1","4","5","1","3","0","0","11"
"8","K. Peters Diaz","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061154%3F","20:19","6","5","1","0","0","5","3","60","2","0","0","4","4","8","0","0","0","0","9"
"13","M. Rojas Salinas","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061159%3F","27:58","11","1","3","2","66.7","4","2","50","2","1","50","1","6","7","2","1","0","3","14"
"7","N. Ortiz de Zarate","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061149%3F","22:55","9","4","0","0","0","4","2","50","9","5","55.6","4","6","10","0","1","0","5","9"
"5","R. Bernal Gonzalez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061162%3F","6:16","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","2","2"
