"pbp-action","pbp-logo src","pbp-action 2","pbp-time","pbp-period"
"COMIENZA EL PARTIDO","","","",""
"INICIO PERIODO","","","",""
"INICIO PERIODO","","","",""
", Salto ganado","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","14, Alfredo Alvarez Flanega","09:59:00","P1"
", Salto perdido","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","14, Pablo F. Fierro Velasquez","09:59:00","P1"
", 2PT bandeja","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","15, Daniel Morales Gonzalez","09:48:00","P1"
", Tapón","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","23, David I. Gonzalez Lazcano","09:48:00","P1"
", Rebote defensivo","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","23, David I. Gonzalez Lazcano","09:40:00","P1"
", 3PT","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","10, Damian A. Espinoza Salinas","09:29:00","P1"
", Rebote defensivo","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","14, Alfredo Alvarez Flanega","09:25:00","P1"
", 2PT bandeja","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","14, Alfredo Alvarez Flanega","09:20:00","P1"
", Rebote defensivo","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","9, Felipe Cordero Zurita","09:16:00","P1"
", Pérdida por mal pase","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","9, Felipe Cordero Zurita","09:08:00","P1"
", Recuperación","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","15, Daniel Morales Gonzalez","09:08:00","P1"
", 2PT bandeja  convertido","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","15, Daniel Morales Gonzalez","09:03:00","P1"
", 3PT","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","23, David I. Gonzalez Lazcano","08:44:00","P1"
"Rebote defensivo","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","","08:43:00","P1"
", 3PT","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","9, Lian Castro Castillo","08:31:00","P1"
", Rebote ofensivo","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","13, Maximiliano Rojas Salinas","08:27:00","P1"
