"playerNumber","playerName","playerName href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 18","tablescraper-selected-row 19","tablescraper-selected-row 20","footable-last-visible","photo src"
"5","B. Andrade Contreras","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1695458%3F","8:49","0","2","1","0","0","2","0","0","0","0","0","1","0","1","0","0","0","1","2","4",""
"10","D. Espinoza Salinas","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1695448%3F","32:43","7","1","5","1","20","6","1","16.7","6","2","33.3","2","3","5","1","4","0","0","5","1",""
"23","D. Gonzalez Lazcano","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1289722%3F","31:36","21","1","5","1","20","14","9","64.3","0","0","0","2","10","12","0","1","1","0","3","23",""
"9","F. Cordero Zurita","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1901878%3F","28:55","9","0","3","0","0","9","4","44.4","1","1","100","2","8","10","2","2","0","1","1","14","https://se-img.dcd-production.i.geniussports.com/65d7f039d2f1ed4ed6bc8706a062f5a3T1.jpg"
"0","F. Acuna Henriquez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1901877%3F","6:32","0","0","0","0","0","2","0","0","0","0","0","1","1","2","0","0","0","0","2","2","https://se-img.dcd-production.i.geniussports.com/8b86b55390ea653e595bd3fba1a60079T1.jpg"
"8","G. Caneo Salinas","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1686796%3F","8:07","0","0","2","0","0","2","0","0","2","0","0","0","0","0","0","2","0","0","1","5","https://se-img.dcd-production.i.geniussports.com/40005c8b7089b03f82cb6e54d8cdc6ecT1.jpg"
"3","J. Ahumada Fernandez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1695446%3F","0:52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"17","J. Garcia Ahumada","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F852491%3F","16:10","5","2","0","0","0","3","2","66.7","2","1","50","0","3","3","0","0","0","0","1","5",""
"13","M. Estay Romero","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1901879%3F","13:52","2","0","0","0","0","3","0","0","2","2","100","2","1","3","0","0","1","0","1","2",""
"14","P. Fierro Velasquez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1695451%3F","33:31","4","3","2","0","0","5","2","40","0","0","0","0","6","6","2","1","0","0","2","6",""
"7","R. Bahamondes Diaz","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2060803%3F","8:26","0","0","0","0","0","4","0","0","0","0","0","2","1","3","0","0","0","0","1","2",""
"21","R. Godoy Santana","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F1695452%3F","10:22","8","2","0","0","0","5","4","80","0","0","0","2","4","6","0","0","0","0","1","12","https://se-img.dcd-production.i.geniussports.com/ab5ee69f8c566eb85ec66c1af7222f6eT1.jpg"
