"playerNumber","playerName","playerName href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 18","tablescraper-selected-row 19","tablescraper-selected-row 20","footable-last-visible"
"14","A. Alvarez Flanega","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061147%3F","30:07","17","2","0","0","0","20","8","40","2","1","50","5","12","17","2","2","1","0","1","25"
"4","B. Rojas Plaza","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061157%3F","0:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","C. Gallegos Moya","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061148%3F","19:34","0","2","2","0","0","4","0","0","0","0","0","1","1","2","1","0","0","1","1","4"
"15","D. Morales Gonzalez","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061155%3F","40:00","19","0","1","0","0","16","9","56.3","1","1","100","4","7","11","0","2","1","1","0","25"
"6","D. Gallardo Araya","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061158%3F","8:39","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"11","G. Rojo Arqueros","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061151%3F","28:31","2","1","2","0","0","3","0","0","3","2","66.7","3","1","4","1","4","0","0","3","2"
"12","J. Arostica Diaz","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061150%3F","3:36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","K. Peters Diaz","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061154%3F","6:42","0","0","1","0","0","0","0","0","2","0","0","1","2","3","0","0","0","0","0","0"
"9","L. Castro Castillo","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061161%3F","34:07","18","4","4","0","0","15","7","46.7","6","4","66.7","0","5","5","2","4","0","0","7","8"
"13","M. Rojas Salinas","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061159%3F","22:25","7","5","3","1","33.3","5","2","40","0","0","0","1","0","1","1","2","0","0","4","2"
"7","N. Ortiz de Zarate","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061149%3F","6:17","4","0","0","0","0","4","1","25","2","2","100","1","2","3","0","0","0","0","0","4"
"5","W. Romero Arancibia","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fperson%2F2061156%3F","0:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
