"team-name","team-name href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","footable-last-visible"
"ARABE VALPARAISO","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F23068%3F","120000","447","395","74","180","254","78","19","106","53"
"ARTURO PRAT","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F29515%3F","120000","430","468","61","195","256","78","5","125","67"
"C. D. BRISAS","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F29498%3F","120000","397","363","69","176","245","90","11","98","84"
"CD ALEMAN DE CONCEPCION","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F29508%3F","120000","430","354","97","174","271","109","13","119","110"
"CD AMERICAN STYLE TRAINING","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F155099%3F","140000","436","663","49","196","245","75","11","170","71"
"CD ESPANOL OSORNO","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F23113%3F","121239","708","319","109","248","357","132","30","119","152"
"CD ESPANOL TALCA","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F23021%3F","140000","445","465","98","170","268","75","16","135","57"
"CD HUACHIPATO","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F43716%3F","140000","485","442","110","239","349","106","16","125","70"
"CD LARR VALDIVIA","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F150495%3F","100000","200","450","45","138","183","47","9","132","53"
"CD MANQUEHUE","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F86191%3F","120000","338","468","42","189","231","77","18","139","48"
"CD OMEGA","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F162908%3F","120000","406","454","65","156","221","63","13","102","60"
"CD PANKULL VALDIVIA","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F126797%3F","140000","345","558","106","202","308","65","13","231","78"
"CD PUMAS PTO. MONTT","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F103246%3F","80000","253","402","36","134","170","50","11","130","44"
"CDSC OSORNO","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F23128%3F","140000","520","369","64","250","314","135","26","114","76"
"CDSC U. DE CHILE","https://clnb.web.geniussports.com/?p=9&WHurl=%2Fcompetition%2F36049%2Fteam%2F29496%3F","140000","461","495","73","222","295","82","12","127","71"
